age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26,Self-emp-not-inc,192017,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,195678,Bachelors,14,Never-married,Handlers-cleaners,Husband,White,Female,0,0,65,United-States,<=50K
38,Private,52566,7th-8th,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,70,United-States,<=50K
28,Private,164135,HS-grad,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,66,United-States,<=50K
44,Self-emp-not-inc,180212,Bachelors,14,Never-married,Craft-repair,Husband,Black,Female,0,0,40,United-States,<=50K
53,Self-emp-inc,240231,Some-college,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,8,United-States,<=50K
33,Private,458558,Some-college,13,Separated,Other-service,Unmarried,White,Male,0,0,40,United-States,<=50K
36,Private,333230,Bachelors,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,India,<=50K
19,Private,85018,HS-grad,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,State-gov,64216,HS-grad,15,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,State-gov,270324,HS-grad,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,219267,Assoc-acdm,9,Separated,Craft-repair,Husband,White,Male,1111,0,40,United-States,>50K
18,Private,102684,Assoc-acdm,13,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,?,262409,Some-college,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,50,United-States,<=50K
27,Private,116751,HS-grad,13,Divorced,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,222107,HS-grad,13,Never-married,Prof-specialty,Not-in-family,White,Female,5178,0,35,Columbia,>50K
31,Private,229009,HS-grad,12,Never-married,Machine-op-inspct,Husband,White,Male,2176,0,50,United-States,>50K
26,Private,177387,Bachelors,10,Never-married,Prof-specialty,Husband,Black,Female,0,0,12,United-States,<=50K
32,Private,60193,Doctorate,10,Married-civ-spouse,Armed-Forces,Not-in-family,White,Female,0,0,40,United-States,<=50K
59,Private,193372,Assoc-voc,11,Divorced,Adm-clerical,Husband,White,Male,0,0,30,?,<=50K
63,Private,337050,Assoc-voc,10,Married-civ-spouse,Farming-fishing,Not-in-family,Black,Female,0,0,40,United-States,<=50K
22,Self-emp-not-inc,426001,HS-grad,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,China,<=50K
25,Self-emp-not-inc,368739,7th-8th,10,Divorced,Sales,Husband,White,Male,0,0,20,England,<=50K
56,Private,113511,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,7688,0,60,United-States,<=50K
22,Private,206139,Bachelors,16,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
43,Federal-gov,181943,5th-6th,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,35,United-States,>50K
34,Private,194259,Some-college,13,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,1111,0,40,United-States,<=50K
44,Private,356015,Assoc-voc,9,Widowed,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
48,Private,537222,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,50,United-States,>50K
21,Private,36539,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
59,Private,145119,HS-grad,6,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,>50K
37,Private,340599,Bachelors,14,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,11,United-States,<=50K
63,Self-emp-inc,30447,HS-grad,10,Divorced,Transport-moving,Own-child,White,Male,99999,0,40,United-States,>50K
39,Self-emp-not-inc,122041,Bachelors,9,Never-married,Exec-managerial,Husband,Black,Female,0,0,40,United-States,<=50K
49,Private,92444,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States,>50K
43,Private,94610,HS-grad,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,?,<=50K
35,Federal-gov,163862,Masters,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,40,?,<=50K
21,Private,32776,Bachelors,9,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
17,Self-emp-inc,186677,Masters,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,25,United-States,<=50K
51,State-gov,279243,Bachelors,3,Never-married,Craft-repair,Husband,White,Female,0,0,40,United-States,>50K
22,Private,233555,Some-college,7,Married-civ-spouse,?,Husband,White,Female,99999,0,40,United-States,<=50K
57,Private,293984,Doctorate,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
52,Private,159299,Some-college,14,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,3,Poland,<=50K
41,Private,131435,9th,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,35,United-States,<=50K
53,Private,152540,HS-grad,10,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,50,United-States,<=50K
30,Private,35603,Some-college,13,Married-spouse-absent,Adm-clerical,Own-child,White,Male,0,0,20,?,<=50K
60,Private,178134,Doctorate,13,Never-married,Sales,Own-child,White,Female,0,1092,56,United-States,<=50K
26,Private,196943,Some-college,10,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
37,Private,95423,Some-college,10,Never-married,Machine-op-inspct,Husband,White,Female,0,0,40,United-States,>50K
24,Private,172927,Assoc-acdm,9,Divorced,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
32,Private,291904,Some-college,13,Never-married,Sales,Husband,White,Female,0,1902,40,El-Salvador,<=50K
38,Private,200775,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,48,United-States,>50K
72,Private,436253,HS-grad,3,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
36,Private,178140,Bachelors,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,48,?,<=50K
33,Private,109952,Bachelors,9,Married-civ-spouse,Sales,Own-child,White,Male,0,0,45,United-States,>50K
40,Private,189763,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,50,United-States,>50K
51,Private,214521,11th,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,42,United-States,<=50K
44,Private,274363,HS-grad,10,Divorced,Transport-moving,Own-child,White,Male,0,0,30,United-States,<=50K
29,Private,323790,Bachelors,3,Divorced,Prof-specialty,Husband,White,Male,0,0,20,United-States,<=50K
36,Private,117166,HS-grad,7,Never-married,Exec-managerial,Wife,White,Female,0,0,70,United-States,<=50K
28,Private,234807,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,315977,Assoc-acdm,9,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
51,Private,201435,Some-college,9,Never-married,Craft-repair,Husband,White,Male,0,0,36,United-States,<=50K
49,Local-gov,271262,11th,10,Separated,Exec-managerial,Husband,Black,Male,0,0,20,United-States,>50K
47,Local-gov,345006,HS-grad,9,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,99999,0,40,United-States,>50K
32,Private,127961,Bachelors,10,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,>50K
23,Private,177072,Some-college,12,Never-married,Adm-clerical,Not-in-family,Black,Female,0,1977,40,?,<=50K
19,Private,178510,HS-grad,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Private,341294,Bachelors,9,Married-civ-spouse,Farming-fishing,Own-child,White,Female,0,0,40,United-States,<=50K
35,Private,94610,7th-8th,9,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,4865,0,40,United-States,<=50K
63,Self-emp-not-inc,242859,Doctorate,15,Never-married,Craft-repair,Wife,White,Male,0,0,48,United-States,<=50K
20,Federal-gov,148599,Prof-school,14,Never-married,Handlers-cleaners,Wife,Black,Male,0,0,40,United-States,>50K
30,?,371382,HS-grad,13,Never-married,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
31,Private,176663,Bachelors,5,Separated,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K
18,Self-emp-not-inc,207982,HS-grad,9,Never-married,Prof-specialty,Husband,White,Female,0,0,40,United-States,<=50K
22,Private,121238,HS-grad,13,Divorced,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
37,State-gov,309974,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,272069,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,>50K
34,Private,200098,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K
44,Private,63910,7th-8th,13,Divorced,Craft-repair,Husband,White,Female,0,0,40,United-States,<=50K
74,Private,211798,HS-grad,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K
38,Private,29841,HS-grad,13,Divorced,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
30,Private,104052,HS-grad,13,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,80,United-States,>50K
45,Private,79830,7th-8th,10,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,45,United-States,<=50K
27,Private,154940,5th-6th,11,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,24,United-States,>50K
48,Private,183092,Some-college,15,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Private,306496,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,<=50K
36,?,356619,12th,9,Divorced,Other-service,Husband,White,Male,15024,0,20,United-States,<=50K
23,State-gov,187311,HS-grad,9,Separated,Craft-repair,Husband,White,Male,0,1651,50,United-States,<=50K
37,Private,92593,HS-grad,13,Never-married,Prof-specialty,Husband,White,Male,6497,0,45,United-States,<=50K
18,Private,220049,10th,6,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,>50K
76,State-gov,330301,HS-grad,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,25,United-States,<=50K
34,Private,224886,Some-college,12,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,>50K
21,Private,44738,HS-grad,12,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Local-gov,100321,HS-grad,10,Married-civ-spouse,Other-service,Husband,White,Female,0,0,20,United-States,<=50K
29,Private,410980,Bachelors,10,Divorced,Other-service,Wife,Other,Male,1111,0,40,United-States,<=50K
42,?,52566,Bachelors,13,Never-married,Sales,Husband,White,Female,0,0,40,United-States,>50K
34,Private,345006,HS-grad,11,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0,3004,60,United-States,<=50K
49,Private,250541,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,48,India,<=50K
38,Private,334946,Some-college,13,Divorced,Sales,Not-in-family,White,Male,0,0,10,United-States,>50K
43,Local-gov,403037,Masters,13,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
67,Self-emp-not-inc,183355,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,162632,Assoc-acdm,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1455,0,40,United-States,>50K
64,Private,179781,Bachelors,12,Divorced,?,Other-relative,White,Female,0,0,50,United-States,<=50K
35,?,172766,Some-college,14,Never-married,Adm-clerical,Other-relative,White,Female,0,0,20,United-States,<=50K
64,Private,219267,Some-college,10,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,30,United-States,>50K
60,Private,98986,Masters,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,10,United-States,<=50K
46,Private,86459,HS-grad,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,?,34816,HS-grad,10,Never-married,Other-service,Husband,Black,Male,0,0,50,?,<=50K
74,Local-gov,139455,Some-college,10,Married-civ-spouse,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
20,?,58213,HS-grad,7,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,1719,7,United-States,<=50K
51,Private,303187,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
31,Private,130466,HS-grad,13,Never-married,Farming-fishing,Husband,White,Male,0,0,38,United-States,<=50K
35,Private,341539,Assoc-voc,10,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,India,<=50K
30,Private,148626,Bachelors,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
50,Private,326624,HS-grad,8,Divorced,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,2964,0,60,United-States,<=50K
20,Private,111700,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,>50K
27,Private,282664,Assoc-voc,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,<=50K
47,Private,216827,HS-grad,9,Never-married,Craft-repair,Husband,White,Female,0,0,9,United-States,<=50K
21,Private,153534,Some-college,14,Divorced,Sales,Husband,White,Male,0,0,40,United-States,<=50K
29,Local-gov,249249,Bachelors,12,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,70,United-States,<=50K
34,Private,174995,Some-college,9,Never-married,Adm-clerical,Not-in-family,White,Male,2228,0,40,United-States,<=50K
27,Private,314627,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,99999,0,40,United-States,<=50K
45,Private,445824,Bachelors,6,Separated,Sales,Own-child,White,Male,0,0,45,United-States,>50K
40,?,337867,Some-college,10,Never-married,Sales,Husband,White,Male,0,0,32,United-States,<=50K
63,Private,116163,Bachelors,14,Married-civ-spouse,Other-service,Husband,Black,Female,0,0,35,United-States,<=50K
39,Self-emp-not-inc,142717,Some-college,9,Never-married,Tech-support,Own-child,White,Female,0,0,25,United-States,<=50K
23,Federal-gov,20308,Bachelors,7,Never-married,Exec-managerial,Wife,White,Male,0,0,99,United-States,<=50K
52,Private,266189,Bachelors,10,Divorced,Craft-repair,Other-relative,White,Male,0,0,60,United-States,<=50K
52,?,156877,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,<=50K
44,Private,169679,HS-grad,5,Married-civ-spouse,Craft-repair,Husband,White,Female,15024,0,45,United-States,>50K
40,Private,117507,HS-grad,2,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
57,Private,23740,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
41,Private,408717,HS-grad,7,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,50,United-States,<=50K
29,Private,186239,11th,13,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K
65,Federal-gov,410980,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,<=50K
33,Private,186556,Bachelors,10,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
69,?,293227,Assoc-voc,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Self-emp-inc,200187,HS-grad,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,20,United-States,<=50K
45,Private,475324,Masters,7,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,<=50K
30,Private,61777,HS-grad,13,Widowed,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
31,Self-emp-inc,169711,Some-college,11,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
29,Private,631947,Masters,1,Divorced,?,Not-in-family,White,Male,4386,1628,6,United-States,>50K
30,Private,148475,10th,9,Married-civ-spouse,?,Other-relative,White,Female,0,0,60,United-States,<=50K
43,Private,42750,HS-grad,9,Never-married,Prof-specialty,Wife,White,Male,0,0,7,United-States,<=50K
62,?,31290,9th,9,Widowed,Craft-repair,Unmarried,White,Male,0,0,25,United-States,>50K
56,Private,70767,Some-college,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2414,0,60,United-States,>50K
21,Self-emp-inc,181280,Some-college,12,Never-married,Craft-repair,Not-in-family,White,Male,2993,0,20,United-States,<=50K
46,Local-gov,234474,HS-grad,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,>50K
29,Private,129586,Prof-school,7,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Private,41400,HS-grad,10,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
45,Private,87054,Some-college,8,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,30,Mexico,<=50K
41,Local-gov,201112,Some-college,13,Never-married,Craft-repair,Husband,White,Female,99999,0,10,United-States,<=50K
22,Private,137476,HS-grad,12,Divorced,Adm-clerical,Husband,Black,Male,0,0,50,?,>50K
43,Private,503675,HS-grad,7,Never-married,Transport-moving,Husband,White,Female,0,0,40,United-States,<=50K
29,Private,283945,11th,11,Never-married,Prof-specialty,Husband,White,Male,4934,0,48,United-States,<=50K
43,Private,425161,Bachelors,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,60,United-States,<=50K
30,Private,43003,12th,14,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,?,36489,Assoc-acdm,13,Never-married,Exec-managerial,Husband,White,Female,0,0,50,United-States,<=50K
63,Local-gov,144592,11th,9,Never-married,Transport-moving,Own-child,White,Female,0,0,45,United-States,<=50K
47,Private,221666,HS-grad,8,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,60,United-States,<=50K
37,Private,277541,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,?,<=50K
51,Local-gov,83089,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,1669,36,Jamaica,<=50K
21,Private,318987,HS-grad,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,30,Canada,<=50K
48,Private,45288,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,6497,0,40,United-States,<=50K
33,Private,136986,Some-college,10,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
57,Private,69249,HS-grad,12,Divorced,Prof-specialty,Husband,White,Female,0,0,20,United-States,>50K
22,Federal-gov,132601,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,485117,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,60,United-States,<=50K
31,Private,140399,Bachelors,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
50,Private,201785,Bachelors,9,Married-civ-spouse,Armed-Forces,Own-child,White,Male,0,2467,40,Philippines,<=50K
51,Private,244172,Some-college,11,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,20,United-States,>50K
37,Self-emp-not-inc,57916,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K
58,Self-emp-inc,315143,HS-grad,9,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0,2754,40,United-States,>50K
54,Private,93169,HS-grad,10,Divorced,Other-service,Husband,White,Female,0,1848,40,United-States,<=50K
51,Federal-gov,109952,HS-grad,8,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,99,United-States,<=50K
37,Self-emp-not-inc,236323,HS-grad,9,Never-married,Adm-clerical,Husband,White,Male,0,0,78,United-States,<=50K
52,?,206139,Masters,16,Divorced,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
53,Private,86805,Some-college,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,24,United-States,<=50K
36,Private,258006,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,7,United-States,<=50K
44,Local-gov,87169,Some-college,9,Never-married,?,Not-in-family,Black,Male,2463,0,8,United-States,<=50K
42,Private,215306,Some-college,12,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
44,Private,148577,Bachelors,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,60,United-States,>50K
60,Private,103456,HS-grad,3,Married-civ-spouse,Prof-specialty,Own-child,White,Female,7443,0,55,United-States,<=50K
21,Private,362623,HS-grad,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,>50K
45,Self-emp-not-inc,141583,12th,13,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,25,Cambodia,<=50K
20,Private,49017,Doctorate,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
31,Private,188027,Doctorate,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,India,<=50K
28,Federal-gov,116934,Some-college,14,Widowed,Exec-managerial,Husband,White,Female,0,0,40,United-States,<=50K
57,Private,60229,Bachelors,10,Divorced,Protective-serv,Not-in-family,Black,Female,0,0,50,United-States,>50K
36,Private,197023,HS-grad,9,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,Private,206775,7th-8th,6,Never-married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,137843,Bachelors,10,Divorced,Craft-repair,Husband,White,Male,7298,1672,45,United-States,<=50K
32,Private,233168,Assoc-acdm,11,Separated,Craft-repair,Own-child,White,Female,0,0,60,United-States,>50K
40,Private,226585,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2002,14,United-States,<=50K
44,Private,264663,Some-college,14,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
35,State-gov,165108,Masters,13,Never-married,Prof-specialty,Husband,White,Female,3781,0,15,United-States,<=50K
40,Local-gov,199739,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
29,Private,238574,Some-college,13,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,>50K
76,Local-gov,129172,HS-grad,13,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
22,Private,137354,11th,10,Never-married,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K
24,Private,286370,7th-8th,14,Separated,Other-service,Not-in-family,White,Male,0,0,4,Mexico,<=50K
37,Private,226129,Some-college,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,>50K
31,Self-emp-not-inc,151864,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K
31,Private,176731,11th,4,Never-married,?,Husband,White,Female,0,0,30,United-States,<=50K
28,Private,158688,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
42,Private,187749,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
51,Private,291566,Prof-school,9,Widowed,Craft-repair,Own-child,Black,Male,1455,0,50,United-States,<=50K
52,Private,175873,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Female,1173,0,35,United-States,<=50K
30,Private,137940,HS-grad,12,Divorced,Tech-support,Not-in-family,White,Male,5178,0,40,United-States,<=50K
45,Private,119558,Some-college,10,Widowed,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
27,Self-emp-not-inc,241607,Assoc-voc,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,20,United-States,<=50K
36,Private,222311,Assoc-voc,13,Never-married,Craft-repair,Husband,White,Male,0,0,18,United-States,<=50K
44,Private,124733,HS-grad,13,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,15,United-States,<=50K
49,Private,499197,Bachelors,10,Divorced,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,220631,HS-grad,13,Never-married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,211920,HS-grad,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,36,United-States,<=50K
34,Private,149653,HS-grad,15,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
46,Private,457237,HS-grad,4,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,50,United-States,>50K
