age,workclass,education,education-num,marital-status,occupation,relationship,race
44,Private,Assoc-acdm,9,Never-married,Other-service,Husband,White
44,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White
50,Private,Bachelors,9,Married-civ-spouse,Exec-managerial,Unmarried,White
58,Private,Bachelors,9,Never-married,Prof-specialty,Husband,Other
32,Private,Some-college,7,Divorced,Exec-managerial,Husband,White
31,Private,Masters,6,Widowed,Sales,Husband,White
35,State-gov,HS-grad,13,Divorced,?,Not-in-family,White
75,?,HS-grad,10,Never-married,Machine-op-inspct,Not-in-family,White
48,?,Some-college,9,Widowed,Adm-clerical,Not-in-family,White
24,Private,HS-grad,10,Never-married,Craft-repair,Unmarried,White
19,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White
27,Private,Masters,9,Married-civ-spouse,Transport-moving,Not-in-family,White
51,Private,Bachelors,9,Married-civ-spouse,Prof-specialty,Own-child,Black
24,Private,Some-college,9,Divorced,Craft-repair,Wife,White
28,Private,Bachelors,12,Never-married,Sales,Not-in-family,White
29,State-gov,Some-college,11,Married-civ-spouse,Adm-clerical,Own-child,White
28,?,Bachelors,10,Married-civ-spouse,Other-service,Own-child,White
27,Private,HS-grad,10,Never-married,Other-service,Other-relative,White
70,Private,Bachelors,9,Divorced,Farming-fishing,Husband,White
38,Private,Masters,9,Married-civ-spouse,Machine-op-inspct,Unmarried,White
31,Self-emp-inc,HS-grad,10,Never-married,Sales,Own-child,White
29,Federal-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White
25,Private,Some-college,11,Married-civ-spouse,Craft-repair,Unmarried,White
58,Self-emp-not-inc,9th,13,Divorced,Other-service,Wife,White
28,Private,Bachelors,3,Divorced,Craft-repair,Own-child,Black
20,Private,HS-grad,10,Married-civ-spouse,Other-service,Husband,White
67,Private,HS-grad,9,Married-civ-spouse,?,Not-in-family,White
30,Private,Doctorate,9,Never-married,Other-service,Husband,Asian-Pac-Islander
88,Private,HS-grad,9,Never-married,Prof-specialty,Husband,Asian-Pac-Islander
77,Private,Some-college,9,Never-married,Protective-serv,Husband,White
23,Self-emp-not-inc,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White
44,Private,HS-grad,15,Divorced,Craft-repair,Own-child,White
37,Private,11th,9,Married-civ-spouse,Prof-specialty,Unmarried,White
33,Self-emp-not-inc,Some-college,13,Divorced,Adm-clerical,Husband,White
34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,Other
32,Private,11th,10,Married-civ-spouse,Farming-fishing,Husband,White
31,Private,Some-college,9,Married-civ-spouse,Other-service,Husband,White
53,Private,10th,13,Married-civ-spouse,Transport-moving,Wife,White
64,Private,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,Other
43,State-gov,Bachelors,9,Married-civ-spouse,Prof-specialty,Not-in-family,White
53,Self-emp-inc,1st-4th,13,Married-civ-spouse,Farming-fishing,Husband,White
77,Local-gov,Some-college,10,Never-married,Adm-clerical,Unmarried,White
48,Private,Some-college,9,Never-married,Sales,Unmarried,Other
43,Private,HS-grad,8,Never-married,Prof-specialty,Own-child,White
21,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
28,Private,11th,14,Never-married,Sales,Not-in-family,White
39,Self-emp-not-inc,HS-grad,13,Never-married,Machine-op-inspct,Wife,White
43,Federal-gov,Assoc-voc,9,Never-married,Exec-managerial,Husband,White
33,Private,9th,9,Married-civ-spouse,Machine-op-inspct,Own-child,White
23,Self-emp-inc,11th,9,Married-civ-spouse,Exec-managerial,Not-in-family,White
39,Private,Doctorate,8,Married-civ-spouse,Transport-moving,Not-in-family,White
33,Local-gov,HS-grad,16,Married-civ-spouse,Transport-moving,Husband,White
37,Private,HS-grad,12,Never-married,Adm-clerical,Husband,White
31,Private,HS-grad,2,Married-civ-spouse,Prof-specialty,Husband,White
21,Private,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White
38,Private,Assoc-voc,9,Married-civ-spouse,Exec-managerial,Not-in-family,White
33,Federal-gov,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,White
23,?,Bachelors,3,Widowed,Exec-managerial,Husband,White
49,Private,HS-grad,13,Never-married,Prof-specialty,Own-child,White
44,Local-gov,Some-college,10,Divorced,Adm-clerical,Wife,White
26,Federal-gov,Some-college,14,Never-married,Adm-clerical,Own-child,White
27,Private,HS-grad,13,Married-civ-spouse,Transport-moving,Own-child,Asian-Pac-Islander
26,Private,Some-college,10,Married-civ-spouse,Tech-support,Wife,White
44,Private,Masters,10,Married-civ-spouse,Prof-specialty,Husband,Black
32,Private,Assoc-voc,13,Widowed,Other-service,Not-in-family,White
61,Private,Masters,10,Never-married,Prof-specialty,Husband,White
47,Local-gov,Bachelors,10,Never-married,Exec-managerial,Wife,White
58,Private,Prof-school,10,Married-civ-spouse,Exec-managerial,Husband,White
37,Private,Some-college,13,Married-civ-spouse,Other-service,Not-in-family,White
37,Private,HS-grad,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander
33,Private,Assoc-acdm,10,Married-civ-spouse,Craft-repair,Own-child,White
23,Private,HS-grad,10,Married-civ-spouse,?,Husband,Other
42,?,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White
31,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White
32,Local-gov,Some-college,13,Never-married,Prof-specialty,Own-child,White
59,Local-gov,HS-grad,10,Married-civ-spouse,Prof-specialty,Not-in-family,White
74,Private,Bachelors,13,Married-civ-spouse,Other-service,Own-child,White
26,Private,9th,11,Never-married,Other-service,Not-in-family,White
19,Self-emp-not-inc,1st-4th,13,Never-married,Machine-op-inspct,Not-in-family,White
21,Self-emp-inc,10th,13,Never-married,Prof-specialty,Not-in-family,White
27,Private,Some-college,4,Married-civ-spouse,Prof-specialty,Own-child,Black
58,?,HS-grad,7,Widowed,Craft-repair,Husband,White
45,Private,Bachelors,9,Never-married,Handlers-cleaners,Unmarried,White
58,Self-emp-inc,Masters,10,Separated,Craft-repair,Wife,White
30,Private,HS-grad,9,Married-civ-spouse,?,Own-child,White
55,?,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White
47,?,Some-college,4,Divorced,Craft-repair,Unmarried,White
70,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Unmarried,Black
39,Local-gov,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,White
38,Private,Assoc-voc,9,Married-civ-spouse,Other-service,Own-child,White
22,Private,HS-grad,7,Married-civ-spouse,Other-service,Husband,White
25,Private,Some-college,10,Separated,Prof-specialty,Not-in-family,White
28,Private,Some-college,9,Divorced,?,Unmarried,White
47,Self-emp-inc,HS-grad,13,Never-married,Craft-repair,Not-in-family,White
42,Local-gov,Bachelors,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander
24,Private,Some-college,9,Divorced,Exec-managerial,Not-in-family,Other
25,Private,HS-grad,9,Divorced,Farming-fishing,Wife,White
33,Private,Bachelors,13,Married-civ-spouse,Other-service,Not-in-family,White
47,Private,HS-grad,10,Married-civ-spouse,Other-service,Husband,White
36,Local-gov,Bachelors,10,Never-married,Exec-managerial,Not-in-family,White
19,Private,HS-grad,9,Never-married,Protective-serv,Other-relative,White
42,Private,HS-grad,14,Divorced,Craft-repair,Not-in-family,Black
70,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White
40,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White
58,Private,Masters,10,Married-civ-spouse,Sales,Unmarried,White
61,Private,Some-college,10,Never-married,Exec-managerial,Unmarried,Black
30,Self-emp-not-inc,Some-college,13,Married-civ-spouse,Exec-managerial,Own-child,Black
80,Private,HS-grad,13,Never-married,Prof-specialty,Husband,Other
41,Private,Bachelors,13,Never-married,Tech-support,Wife,White
39,Private,Some-college,13,Never-married,Prof-specialty,Unmarried,Other
51,Private,HS-grad,2,Married-civ-spouse,Prof-specialty,Husband,White
73,Private,Some-college,9,Divorced,?,Not-in-family,White
74,Private,Some-college,9,Never-married,?,Wife,Black
18,Self-emp-inc,HS-grad,9,Never-married,Adm-clerical,Unmarried,White
39,?,Prof-school,9,Never-married,Sales,Not-in-family,White
30,?,HS-grad,9,Never-married,Exec-managerial,Other-relative,White
19,Self-emp-not-inc,HS-grad,13,Divorced,Craft-repair,Husband,White
53,Local-gov,Some-college,9,Never-married,Transport-moving,Other-relative,White
55,Private,Masters,10,Divorced,Other-service,Other-relative,White
45,Private,Masters,7,Never-married,Protective-serv,Unmarried,White
28,Private,HS-grad,13,Married-civ-spouse,Tech-support,Own-child,White
25,Private,Assoc-voc,5,Married-civ-spouse,Handlers-cleaners,Husband,White
53,Private,Bachelors,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander
22,Private,Some-college,9,Married-civ-spouse,Other-service,Husband,White
26,Private,Prof-school,14,Never-married,Transport-moving,Husband,White
30,Self-emp-not-inc,Assoc-acdm,10,Married-civ-spouse,Sales,Husband,White
80,Private,11th,9,Married-civ-spouse,Prof-specialty,Husband,White
55,Private,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White
38,Private,HS-grad,10,Married-civ-spouse,Transport-moving,Husband,White
51,Private,HS-grad,12,Divorced,Adm-clerical,Husband,White
31,Self-emp-inc,HS-grad,9,Never-married,Craft-repair,Unmarried,Black
29,Private,Some-college,5,Married-civ-spouse,Sales,Husband,White
65,Private,11th,9,Never-married,Handlers-cleaners,Other-relative,White
30,?,HS-grad,10,Divorced,Prof-specialty,Other-relative,Black
32,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo
29,Private,HS-grad,10,Never-married,Other-service,Husband,White
31,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White
29,Private,HS-grad,13,Married-civ-spouse,Adm-clerical,Not-in-family,White
47,Private,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,White
50,Private,7th-8th,13,Married-civ-spouse,Craft-repair,Own-child,Black
48,Local-gov,HS-grad,9,Never-married,Tech-support,Husband,White
53,Private,HS-grad,10,Married-spouse-absent,Other-service,Own-child,White
59,Private,Masters,10,Married-civ-spouse,Prof-specialty,Unmarried,White
27,Self-emp-not-inc,Bachelors,1,Married-civ-spouse,?,Husband,White
40,Self-emp-not-inc,Bachelors,15,Never-married,Craft-repair,Husband,White
34,Private,10th,9,Married-civ-spouse,Farming-fishing,Not-in-family,Black
64,Private,HS-grad,6,Married-civ-spouse,Craft-repair,Husband,White
53,Private,Bachelors,9,Separated,?,Unmarried,Amer-Indian-Eskimo
67,Federal-gov,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Husband,White
44,Private,HS-grad,11,Married-civ-spouse,Adm-clerical,Not-in-family,White
22,Private,10th,9,Married-civ-spouse,Exec-managerial,Not-in-family,Black
60,Self-emp-not-inc,HS-grad,13,Never-married,Tech-support,Unmarried,White
56,Private,HS-grad,10,Never-married,Prof-specialty,Husband,White
43,Private,Some-college,10,Divorced,Handlers-cleaners,Husband,White
43,Local-gov,HS-grad,12,Married-civ-spouse,Exec-managerial,Own-child,White
77,Private,11th,10,Married-civ-spouse,Craft-repair,Husband,White
55,Local-gov,10th,9,Never-married,Sales,Not-in-family,White
77,Private,HS-grad,9,Never-married,Adm-clerical,Husband,White
27,Private,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White
22,Local-gov,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Not-in-family,Black
51,Private,Some-college,10,Never-married,Transport-moving,Husband,White
24,?,10th,10,Never-married,Sales,Not-in-family,White
29,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,White
54,Self-emp-not-inc,HS-grad,14,Never-married,Sales,Husband,Black
51,Private,11th,9,Married-civ-spouse,Exec-managerial,Not-in-family,White
44,Private,HS-grad,14,Married-civ-spouse,Other-service,Other-relative,White
60,?,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,Black
43,Private,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White
34,Private,Masters,6,Never-married,Prof-specialty,Unmarried,White
52,Private,HS-grad,10,Divorced,Farming-fishing,Husband,White
41,Private,Bachelors,15,Never-married,Sales,Husband,White
33,Private,HS-grad,9,Separated,Prof-specialty,Not-in-family,White
47,Self-emp-inc,HS-grad,10,Never-married,Other-service,Not-in-family,White
50,Private,Some-college,9,Married-civ-spouse,Machine-op-inspct,Own-child,White
31,Private,Bachelors,9,Never-married,Other-service,Other-relative,White
53,Private,Masters,9,Divorced,Adm-clerical,Other-relative,White
21,Local-gov,HS-grad,3,Never-married,Machine-op-inspct,Husband,White
28,Self-emp-not-inc,HS-grad,10,Never-married,Craft-repair,Not-in-family,White
55,Private,Bachelors,10,Never-married,Craft-repair,Own-child,White
59,Self-emp-not-inc,Doctorate,9,Separated,Prof-specialty,Not-in-family,White
75,Private,HS-grad,9,Never-married,Sales,Unmarried,White
29,Self-emp-not-inc,Assoc-acdm,9,Married-civ-spouse,Adm-clerical,Husband,White
63,Private,11th,9,Never-married,Exec-managerial,Not-in-family,White
75,State-gov,HS-grad,14,Married-civ-spouse,Exec-managerial,Husband,White
48,Private,HS-grad,13,Separated,Other-service,Unmarried,White
29,Private,Assoc-voc,7,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander
55,Private,HS-grad,9,Divorced,Sales,Husband,Other
29,Federal-gov,HS-grad,10,Never-married,Exec-managerial,Own-child,White
47,Private,Masters,13,Married-civ-spouse,Craft-repair,Unmarried,White
31,Private,HS-grad,9,Never-married,Adm-clerical,Husband,White
39,Private,Bachelors,7,Divorced,Exec-managerial,Own-child,White
48,Private,HS-grad,10,Married-civ-spouse,Other-service,Not-in-family,White
50,?,Bachelors,9,Divorced,Craft-repair,Own-child,White
30,State-gov,HS-grad,11,Married-civ-spouse,Prof-specialty,Not-in-family,White
40,Local-gov,Bachelors,9,Never-married,Craft-repair,Husband,White
29,Self-emp-inc,11th,10,Married-civ-spouse,Adm-clerical,Not-in-family,Black
19,Self-emp-inc,Some-college,9,Married-civ-spouse,Other-service,Not-in-family,White
46,Private,HS-grad,2,Never-married,Exec-managerial,Husband,Black
47,Private,Assoc-acdm,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander
24,Self-emp-inc,Some-college,15,Divorced,Adm-clerical,Husband,White
24,Federal-gov,5th-6th,9,Divorced,Craft-repair,Husband,White
62,Private,Some-college,10,Never-married,Sales,Unmarried,White
58,Private,10th,9,Married-civ-spouse,Adm-clerical,Not-in-family,White
72,Local-gov,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,White
36,?,Some-college,7,Married-civ-spouse,Craft-repair,Not-in-family,White
37,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White
18,Private,Bachelors,14,Married-civ-spouse,Craft-repair,Unmarried,White
29,Self-emp-inc,Some-college,4,Married-civ-spouse,Other-service,Unmarried,White
52,Self-emp-not-inc,HS-grad,13,Never-married,Craft-repair,Husband,White
45,Private,Bachelors,10,Never-married,Craft-repair,Unmarried,White
53,Private,Prof-school,9,Never-married,Prof-specialty,Husband,White
23,Private,HS-grad,7,Married-civ-spouse,Exec-managerial,Own-child,White
44,Private,Some-college,12,Never-married,Sales,Own-child,White
39,Private,Bachelors,10,Never-married,Sales,Husband,White
42,Private,11th,9,Never-married,Prof-specialty,Not-in-family,White
42,Local-gov,Doctorate,9,Married-spouse-absent,Prof-specialty,Husband,White
22,?,HS-grad,9,Separated,?,Husband,White
56,Private,HS-grad,10,Divorced,Farming-fishing,Not-in-family,White
22,State-gov,HS-grad,12,Married-civ-spouse,?,Not-in-family,White
90,Private,Some-college,9,Married-civ-spouse,Prof-specialty,Other-relative,Black
29,Private,Masters,10,Married-civ-spouse,Farming-fishing,Own-child,White
24,Private,10th,9,Married-civ-spouse,Adm-clerical,Own-child,White
81,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black
90,Private,Bachelors,10,Married-civ-spouse,Transport-moving,Unmarried,White
22,Private,Some-college,7,Married-civ-spouse,Other-service,Unmarried,White
39,Private,Bachelors,3,Divorced,Prof-specialty,Husband,White
27,Self-emp-not-inc,Doctorate,13,Married-civ-spouse,Sales,Husband,White
45,Private,HS-grad,7,Married-civ-spouse,Craft-repair,Not-in-family,White
35,Private,Masters,10,Married-civ-spouse,Machine-op-inspct,Husband,White
34,State-gov,Some-college,11,Widowed,Adm-clerical,Husband,White
53,Private,Some-college,9,Divorced,Transport-moving,Not-in-family,White
24,Private,Some-college,10,Separated,?,Husband,White
49,Private,Prof-school,9,Divorced,Handlers-cleaners,Own-child,White
18,Private,Assoc-voc,9,Divorced,Exec-managerial,Not-in-family,White
49,Private,Some-college,9,Never-married,Prof-specialty,Not-in-family,White
64,Private,1st-4th,3,Married-civ-spouse,Other-service,Husband,White
90,Federal-gov,HS-grad,10,Married-civ-spouse,Exec-managerial,Not-in-family,White
72,Private,Assoc-voc,10,Never-married,?,Not-in-family,White
43,Private,HS-grad,13,Divorced,Craft-repair,Husband,White
37,Self-emp-inc,HS-grad,10,Never-married,Machine-op-inspct,Not-in-family,White
57,Private,Assoc-voc,6,Never-married,Other-service,Unmarried,White
52,Local-gov,9th,9,Divorced,Adm-clerical,Unmarried,White
28,Private,Some-college,10,Divorced,Exec-managerial,Other-relative,Black
19,Private,Bachelors,8,Separated,Sales,Unmarried,White
77,Local-gov,1st-4th,5,Never-married,Craft-repair,Other-relative,White
40,Private,Some-college,13,Married-civ-spouse,Adm-clerical,Own-child,White
50,?,10th,9,Married-civ-spouse,Adm-clerical,Unmarried,White
41,Private,9th,14,Never-married,Adm-clerical,Husband,White
70,Private,Bachelors,9,Married-civ-spouse,Other-service,Not-in-family,White
77,Private,Prof-school,10,Never-married,Craft-repair,Husband,White
32,Private,HS-grad,10,Never-married,Handlers-cleaners,Wife,White
79,Local-gov,HS-grad,10,Divorced,Sales,Husband,White
53,Private,10th,7,Never-married,Tech-support,Not-in-family,White
46,Private,Some-college,16,Married-civ-spouse,Exec-managerial,Not-in-family,White
70,Private,HS-grad,3,Married-civ-spouse,Exec-managerial,Husband,Other
19,Private,Bachelors,10,Married-civ-spouse,Tech-support,Not-in-family,White
79,Private,HS-grad,11,Married-civ-spouse,Craft-repair,Husband,White
53,Federal-gov,HS-grad,13,Divorced,?,Own-child,Black
81,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Own-child,Black
45,Private,Some-college,9,Married-civ-spouse,Other-service,Own-child,White
47,Private,HS-grad,13,Separated,Adm-clerical,Not-in-family,White
59,Private,Some-college,9,Married-civ-spouse,Exec-managerial,Own-child,White
67,Private,Some-college,8,Married-civ-spouse,Sales,Husband,White
43,Private,Some-college,9,Widowed,Exec-managerial,Husband,White
68,Private,Masters,10,Divorced,Other-service,Not-in-family,White
49,Private,11th,9,Divorced,Exec-managerial,Unmarried,White
39,Private,HS-grad,14,Divorced,Sales,Own-child,Asian-Pac-Islander
28,Private,HS-grad,10,Never-married,Adm-clerical,Not-in-family,Black
17,Private,Some-college,14,Divorced,Other-service,Husband,Black
17,Private,HS-grad,12,Widowed,Craft-repair,Not-in-family,White
34,Private,Assoc-acdm,13,Never-married,Craft-repair,Not-in-family,White
26,?,Bachelors,14,Married-civ-spouse,Craft-repair,Not-in-family,White
35,Private,Bachelors,10,Divorced,?,Husband,White
29,?,HS-grad,9,Never-married,Adm-clerical,Own-child,White
37,Private,10th,13,Never-married,Prof-specialty,Wife,White
45,Private,HS-grad,13,Married-civ-spouse,Other-service,Wife,White
36,Private,Prof-school,9,Married-civ-spouse,Prof-specialty,Not-in-family,White
24,Private,HS-grad,8,Married-civ-spouse,Exec-managerial,Unmarried,White
37,Private,Bachelors,9,Married-civ-spouse,?,Husband,White
28,Private,Some-college,7,Never-married,Craft-repair,Husband,White
69,Private,Assoc-acdm,10,Married-civ-spouse,Handlers-cleaners,Husband,White
54,Private,Some-college,9,Never-married,Sales,Not-in-family,White
40,Private,10th,4,Never-married,Adm-clerical,Husband,White
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White
29,Private,HS-grad,16,Never-married,Adm-clerical,Own-child,White
27,Local-gov,Assoc-voc,8,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo
48,Private,Prof-school,15,Divorced,Other-service,Unmarried,White
40,Private,HS-grad,14,Never-married,Exec-managerial,Husband,White
22,Private,HS-grad,13,Married-civ-spouse,Machine-op-inspct,Unmarried,White
22,Private,Bachelors,9,Married-civ-spouse,?,Husband,White
47,Private,Bachelors,10,Married-civ-spouse,Farming-fishing,Own-child,White
77,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White
80,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,Other
42,Private,Some-college,7,Widowed,Handlers-cleaners,Unmarried,White
50,Private,Some-college,11,Divorced,?,Own-child,White
74,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White
47,Private,11th,14,Widowed,Prof-specialty,Other-relative,White
25,Private,HS-grad,13,Married-civ-spouse,Protective-serv,Not-in-family,Black
22,Private,Some-college,10,Never-married,Exec-managerial,Wife,White
43,Self-emp-not-inc,Bachelors,10,Married-civ-spouse,Prof-specialty,Husband,White
23,Private,Masters,13,Never-married,Prof-specialty,Own-child,White
80,Private,HS-grad,11,Never-married,Protective-serv,Not-in-family,White
49,Private,Bachelors,16,Never-married,Sales,Not-in-family,White
17,State-gov,HS-grad,13,Married-civ-spouse,Exec-managerial,Unmarried,White
29,Self-emp-not-inc,HS-grad,10,Separated,Exec-managerial,Husband,White
27,Self-emp-inc,HS-grad,9,Married-civ-spouse,?,Unmarried,White
47,Private,Bachelors,9,Married-civ-spouse,Handlers-cleaners,Husband,White
30,Private,Masters,13,Married-spouse-absent,Adm-clerical,Own-child,White
80,Private,10th,9,Married-civ-spouse,Prof-specialty,Not-in-family,White
47,State-gov,9th,10,Married-civ-spouse,Exec-managerial,Husband,White
31,?,Bachelors,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White
62,State-gov,HS-grad,10,Married-civ-spouse,?,Husband,White
37,Self-emp-not-inc,Bachelors,9,Married-civ-spouse,Exec-managerial,Not-in-family,White
22,Local-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White
49,Private,HS-grad,3,Divorced,Farming-fishing,Wife,White
35,Private,Some-college,13,Married-civ-spouse,Adm-clerical,Not-in-family,White
67,Private,HS-grad,9,Never-married,Machine-op-inspct,Husband,White
54,Private,Some-college,13,Married-civ-spouse,?,Own-child,White
44,Local-gov,Some-college,9,Married-civ-spouse,Prof-specialty,Wife,Other
17,Private,Some-college,10,Never-married,Other-service,Unmarried,White
28,Private,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White
29,Private,Some-college,9,Married-civ-spouse,Farming-fishing,Husband,Black
47,Self-emp-not-inc,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White
24,Private,Some-college,13,Divorced,Machine-op-inspct,Own-child,White
42,Private,1st-4th,13,Married-civ-spouse,Other-service,Not-in-family,White
27,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,Black
29,Private,HS-grad,9,Married-spouse-absent,Exec-managerial,Husband,Other
25,Private,Bachelors,10,Married-civ-spouse,?,Not-in-family,White
37,Local-gov,Prof-school,7,Separated,Adm-clerical,Own-child,White
53,Private,Some-college,3,Divorced,Other-service,Not-in-family,White
36,Private,Masters,10,Married-civ-spouse,Other-service,Husband,White
39,Local-gov,HS-grad,13,Married-civ-spouse,Handlers-cleaners,Husband,White
44,Local-gov,Some-college,12,Divorced,Adm-clerical,Own-child,Other
31,Private,11th,10,Married-civ-spouse,Exec-managerial,Not-in-family,White
31,Private,Some-college,5,Never-married,Sales,Not-in-family,White
59,Private,Some-college,9,Widowed,Other-service,Own-child,White
18,Private,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White
22,Local-gov,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White
26,Self-emp-inc,1st-4th,13,Never-married,Exec-managerial,Husband,Black
27,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White
79,Private,Bachelors,11,Married-civ-spouse,?,Not-in-family,White
28,State-gov,Some-college,14,Never-married,Craft-repair,Husband,White
26,Private,HS-grad,9,Never-married,Other-service,Own-child,White
42,Private,Bachelors,14,Married-civ-spouse,Tech-support,Not-in-family,White
51,Private,Bachelors,9,Married-civ-spouse,Sales,Husband,White
70,Private,Some-college,13,Never-married,Prof-specialty,Not-in-family,White
57,State-gov,11th,4,Never-married,Sales,Husband,White
29,Private,Bachelors,13,Separated,Other-service,Unmarried,White
33,?,Some-college,12,Married-civ-spouse,Craft-repair,Not-in-family,White
49,Private,Bachelors,10,Married-civ-spouse,Farming-fishing,Husband,White
80,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White
34,Private,HS-grad,13,Never-married,Handlers-cleaners,Not-in-family,White
19,?,Bachelors,9,Married-civ-spouse,Adm-clerical,Own-child,White
50,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Unmarried,Asian-Pac-Islander
47,State-gov,Masters,10,Married-civ-spouse,Sales,Husband,White
